,Title_job,Job_link,Company_link,Address,Salary,date
0,5 NodeJS Developers/ReactJS/ VueJS,/it-jobs/5-nodejs-developers-reactjs-vuejs-hdwebsoft-2725,/companies/hdwebsoft,Ho Chi Minh,Attractive salary ,8/12/2021
1,"Java Developer (Spring, AWS)",/it-jobs/java-developer-spring-aws-incepit-1739,/companies/incepit,Ho Chi Minh,"1,200 - 2,000 USD",8/12/2021
2,"Jr. Mobile Developer (Swift, Kotlin)",/it-jobs/jr-mobile-developer-swift-kotlin-go2joy-2312,/companies/go2joy,Ho Chi Minh,You'll love it,8/12/2021
3,Senior Java Developer ,/it-jobs/senior-java-developer-home-credit-vietnam-3443,/companies/home-credit-vietnam,Ho Chi Minh,You'll love it,8/12/2021
4,Senior Oracle Developer ,/it-jobs/senior-oracle-developer-home-credit-vietnam-0332,/companies/home-credit-vietnam,Ho Chi Minh,You'll love it,8/12/2021
5,Omni-channel Technical leader,/it-jobs/omni-channel-technical-leader-central-retail-0740,/companies/central-retail,Ho Chi Minh,"1,500 - 3,000 USD",8/12/2021
6,Product Quality Assurance Specialist,/it-jobs/product-quality-assurance-specialist-peeba-5311,/companies/peeba,Ho Chi Minh,You'll love it,8/12/2021
7,PHP Developer (Laravel) | Sign-on Bonus,/it-jobs/php-developer-laravel-sign-on-bonus-titan-technology-corporation-0153,/companies/titan-technology-corporation,Ho Chi Minh,You'll love it,8/12/2021
8,Senior Tester (QA QC/Web),/it-jobs/senior-tester-qa-qc-web-b2be-gss-vietnam-4455,/companies/b2be-gss-vietnam,Ho Chi Minh,"1,000 - 1,500 USD",8/12/2021
9,"Application Developer (JAVA, Oracle)",/it-jobs/application-developer-java-oracle-vietnam-international-bank-vib-0625,/companies/vietnam-international-bank-vib,Ha Noi,Competitve,8/12/2021
10,Mid/Senior Web Frontend Engineer,/it-jobs/web-frontend-engineer-reactjs-vuejs-baemin-vietnam-woowa-bros-0229,/companies/baemin-vietnam-woowa-bros,Ho Chi Minh,You'll love it,8/12/2021
11,Automation Tester,/it-jobs/software-tester-vietnam-international-bank-vib-0046,/companies/vietnam-international-bank-vib,Ha Noi,Competitive,8/12/2021
12,Senior Java Engineer - Up to $3000++,/it-jobs/senior-java-engineer-up-to-3000-line-vietnam-1739,/companies/line-vietnam-2,Ho Chi Minh,You'll love it,8/12/2021
13,Senior QA Engineer,/it-jobs/senior-qa-engineer-line-vietnam-2022,/companies/line-vietnam-2,Ho Chi Minh,You'll love it,8/12/2021
14,"Frontend Dev (JavaScript, ReactJS)",/it-jobs/frontend-dev-javascpit-nodejs-reactj-missing-corner-3748,/companies/missing-corner,Ha Noi,"1,200 - 2,000 USD",8/12/2021
15,Data Engineer (Python/NodeJS/Java)~40M,/it-jobs/data-engineer-python-nodejs-java-40m-knorex-5036,/companies/knorex,Ho Chi Minh,"700 - 2,000 USD",8/12/2021
16,Solution Architect/Presales Manager,/it-jobs/solution-architect-presale-manager-hitachi-vantara-5312,/companies/hitachi-vantara,Ho Chi Minh,You'll love it,8/12/2021
17,Frontend Developer (Angular/ReactJS),/it-jobs/frontend-developer-angular-reactjs-hitachi-vantara-4830,/companies/hitachi-vantara,Da Nang,You'll love it,8/12/2021
18,Senior QA QC Engineer / Manual Tester,/it-jobs/senior-manual-qa-engineer-leapxpert-0547,/companies/leapxpert,Ho Chi Minh,"1,300 - 1,900 USD",8/12/2021
19,"Fullstack Developer (ReactJS,NodeJS/PHP)",/it-jobs/fullstack-developer-reactjs-nodejs-php-golden-owl-consulting-company-1310,/companies/golden-owl-consulting-company,Da Nang,You'll love it,8/12/2021
20,"Front-end Tech Lead (JS, ReactJS)",/it-jobs/front-end-tech-lead-js-reactjs-ekino-vietnam-5710,/companies/ekino-vietnam,Ho Chi Minh,Attractive salary,8/12/2021
21,".NET Developer (ASP. NET, C#)",/it-jobs/net-developer-asp-net-c-bbv-vietnam-3244,/companies/bbv-vietnam,Ho Chi Minh,"1,000 - 1,500 USD",8/12/2021
22,Application Administrator (Finone),/it-jobs/application-administrator-finone-mirae-asset-finance-3613,/companies/mirae-asset-finance,Ho Chi Minh,You'll love it,8/12/2021
23,Senior Graphic Designer / UI-UX Designer,/it-jobs/senior-graphic-designer-ui-ux-designer-blue-belt-technology-2718,/companies/blue-belt-technology,Ho Chi Minh,"1,200 - 1,800 USD",8/12/2021
24,[Urgent] Mobile Developers (iOS/Android),/it-jobs/urgent-mobile-developers-ios-android-bbv-vietnam-3208,/companies/bbv-vietnam,Ho Chi Minh,"1,000 - 1,800 USD",8/12/2021
25,"Full-stack Dev (PHP, JavaScript, CSS)",/it-jobs/full-stack-dev-php-javascript-css-metech-media-technology-2230,/companies/metech-media-technology,Ha Noi,Thỏa thuận,8/12/2021
26,"Mid/Sr. Backend Developer (.NET, C#)",/it-jobs/mid-sr-backend-developer-net-c-flynk-3641,/companies/flynk,Ho Chi Minh,"$1,200 - $2,500 gross",8/12/2021
27,"QC Engineers (Tester, QA QC)",/it-jobs/qc-engineers-tester-qa-qc-bbv-vietnam-3121,/companies/bbv-vietnam,Ho Chi Minh,"500 - 1,200 USD",8/12/2021
28,"Test Engineer (QA QC, Tester + English)",/it-jobs/test-engineer-qa-qc-tester-english-personify-incorporation-2127,/companies/personify-incorporation,Ho Chi Minh,"600 - 1,500 USD",8/12/2021
29,"Application Development (Android, Java)",/it-jobs/application-development-android-java-dai-ichi-life-viet-nam-3212,/companies/dai-ichi-life-viet-nam,Ho Chi Minh,"1,500 - 1,800 USD",8/12/2021
30,"Fresher/Junior PHP Devs (Laravel, HTML5)",/it-jobs/fresher-junior-php-devs-laravel-html5-metech-media-technology-0115,/companies/metech-media-technology,Ho Chi Minh,Up to 800$,8/12/2021
31,"Senior JavaScript Dev (React, NodeJS) ",/it-jobs/senior-javascript-dev-react-nodejs-scandinavian-software-park-0357,/companies/scandinavian-software-park,Ho Chi Minh,"1,000 - 2,200 USD",8/12/2021
