,Title_book
0,Tiên Hiệp
1,Kiếm Lai
2,Người Bị Hại Luôn Tới Tìm Tôi
3,Xuyên Nhanh Công Lược
4,Yêu Lại Từ Đầu 2
5,"Mộ Thiếu, Vợ Cậu Lại Trọng Sinh Rồi"
6,Toàn Thế Giới Đều Cho Rằng Tôi Là Nữ Giả Nam
7,Trọng Sinh Chi Làm Bé Ngoan
8,Xuyên Qua Cổ Đại Làm Phu Tử
9,Thiêu
10,Hai Thai Năm Bảo Tổng Tài Bẫy Được Vợ Ngoan
11,Ôm Đùi Boss Ác Ôn
12,Hồi Tưởng Cứu Rỗi
13,Cảnh Xuân Chợt Tiết
14,Chồng Tôi Thật Quyến Rũ
15,Chàng Rể Tỷ Phú
16,Vương Phi Muốn Tái Giá Rồi
17,Xuyên Thành Em Gái Trà Xanh Của Nữ Chủ Trong Tra Tiện Văn
18,Tình Yêu Của Anh Tôi Không Dám Nhận
19,Kiếp Này Chỉ Nguyện Bên Người
20,Bút Ký Phản Công Của Nữ Phụ Pháo Hôi
21,Chiến Long Vô Song
22,Lạn Kha Kỳ Duyên
23,Mạnh Mẽ Công Thủ
24,Đế Thiếu Lạnh Lùng Không Thể Trêu Vào
25,Hoàng Đế Ngầm Của Tiêu Châu
26,Thần Y Lâm Cứu Em Đi
27,Sủng Tới Nghiện Vợ Yêu Có Độc
28,Tiên Hiệp
29,Mê Vợ Không Lối Về
30,Thần Đạo Đan Tôn
31,Rể Quý Trời Cho
32,Thế Giới Hoàn Mỹ
33,Đấu Phá Thương Khung
34,Cô Vợ Ngọt Ngào Có Chút Bất Lương (Vợ Mới Bất Lương Có Chút Ngọt)
35,Linh Vũ Thiên Hạ
36,Nhất Niệm Vĩnh Hằng
37,Ngạo Thế Đan Thần
38,"Xuyên Nhanh: Nam Thần, Bùng Cháy Đi!"
